STATUS,MW,LogP,nHAcc,nHDon,canonical_smiles,standard_value,SMILES_desalt,pIC50,molecule_chembl_id
Intermediate,374.83200000000005,2.9745800000000004,6,2,CC(CN(C)C)Oc1ccc(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,3229.0,CC(CN(C)C)Oc1ccc(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,5.490931954982838,CHEMBL425904
Inactive,373.8000000000002,3.06098,6,2,CC1(COc2ccc(Cl)cc2NC(=O)Nc2cnc(C#N)cn2)COC1,10000.0,CC1(COc2ccc(Cl)cc2NC(=O)Nc2cnc(C#N)cn2)COC1,5.0,CHEMBL192161
Active,495.5840000000005,3.4018000000000024,10,2,CCCCC(=O)Nc1ncc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OC)cc23)cn1,17.0,CCCCC(=O)Nc1ncc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OC)cc23)cn1,7.769551078621726,CHEMBL204318
Active,516.5620000000004,2.9204000000000008,11,2,COc1cc2c(Nc3cnc(NC(=O)c4ccncc4)nc3)ncnc2cc1OCCCN1CCOCC1,690.0,COc1cc2c(Nc3cnc(NC(=O)c4ccncc4)nc3)ncnc2cc1OCCCN1CCOCC1,6.161150909262744,CHEMBL203507
Intermediate,678.816,4.336100000000003,12,2,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)Nc2ncc(Nc3ncnc4cc(OCCCN5CCOCC5)c(OC)cc34)cn2)cc1,3900.0,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)Nc2ncc(Nc3ncnc4cc(OCCCN5CCOCC5)c(OC)cc34)cn2)cc1,5.4089353929735005,CHEMBL206374
Active,543.6280000000005,4.087800000000003,10,2,CCc1ccc(C(=O)Nc2ncc(Nc3ncnc4cc(OCCCN5CCOCC5)c(OC)cc34)cn2)cc1,85.0,CCc1ccc(C(=O)Nc2ncc(Nc3ncnc4cc(OCCCN5CCOCC5)c(OC)cc34)cn2)cc1,7.070581074285707,CHEMBL204217
Active,608.4969999999998,4.596320000000004,10,2,COc1cc2c(Nc3cnc(NC(=O)c4ccc(C)c(Br)c4)nc3)ncnc2cc1OCCCN1CCOCC1,70.0,COc1cc2c(Nc3cnc(NC(=O)c4ccc(C)c(Br)c4)nc3)ncnc2cc1OCCCN1CCOCC1,7.154901959985743,CHEMBL203007
Active,568.0090000000001,4.317900000000003,10,2,COc1cc2c(Nc3cnc(NC(=O)c4ccc(F)c(Cl)c4)nc3)ncnc2cc1OCCCN1CCOCC1,0.15,COc1cc2c(Nc3cnc(NC(=O)c4ccc(F)c(Cl)c4)nc3)ncnc2cc1OCCCN1CCOCC1,9.823908740944319,CHEMBL382667
Active,550.0190000000002,4.1788000000000025,10,2,COc1cc2c(Nc3cnc(NC(=O)c4cccc(Cl)c4)nc3)ncnc2cc1OCCCN1CCOCC1,0.1,COc1cc2c(Nc3cnc(NC(=O)c4cccc(Cl)c4)nc3)ncnc2cc1OCCCN1CCOCC1,10.0,CHEMBL205877
Active,515.5740000000004,3.525400000000002,10,2,COc1cc2c(Nc3ncc(NC(=O)c4ccccc4)cn3)ncnc2cc1OCCCN1CCOCC1,629.0,COc1cc2c(Nc3ncc(NC(=O)c4ccccc4)cn3)ncnc2cc1OCCCN1CCOCC1,6.201349354554731,CHEMBL206266
